,mean_fit_time,mean_score_time,mean_test_score,param_C,param_gamma,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,std_fit_time,std_score_time,std_test_score,
0,16.6252683,5.559911251,0.570306766,1,0.001,{'C': 1, 'gamma': 0.001},6,0.558784676,0.584324086,0.567811537,0.110587017,0.043790965,0.010574655
1,15.45047196,4.784224669,0.683619551,1,0.01,{'C': 1, 'gamma': 0.01},1,0.699471598,0.660942316,0.690444738,0.243441586,0.09333212,0.016453242
2,15.18107939,4.977128744,0.682959049,5,0.001,{'C': 5, 'gamma': 0.001},5,0.697269925,0.660942316,0.690664905,0.142446636,0.060997577,0.015799978
3,14.64726051,4.446319183,0.683619551,5,0.01,{'C': 5, 'gamma': 0.01},1,0.699471598,0.660942316,0.690444738,0.199802802,0.074351427,0.016453242
4,16.26889698,4.776247978,0.683619551,10,0.001,{'C': 10, 'gamma': 0.001},1,0.699471598,0.660942316,0.690444738,0.327682509,0.101663412,0.016453242
5,14.56596502,4.4167099,0.683619551,10,0.01,{'C': 10, 'gamma': 0.01},1,0.699471598,0.660942316,0.690444738,0.161619923,0.081157174,0.016453242
